iter	RMSE
0	0.5864498881
1	0.5722098564
2	0.5584829087
3	0.5448872642
4	0.5319006279
5	0.5192725284
6	0.5071941111
7	0.4953394199
8	0.4835108624
9	0.4721086492
10	0.460976947
11	0.4502694346
12	0.4397260294
13	0.4294592371
14	0.419785926
15	0.410157157
16	0.4007389034
17	0.3917288427
18	0.3828281977
19	0.3744264818
20	0.3659019001
21	0.3575826247
22	0.3494704469
23	0.3416906355
24	0.3342108286
25	0.3269071975
26	0.3196339248
27	0.3126385711
28	0.3059876447
29	0.299334045
30	0.2930097402
31	0.2867388739
32	0.2806471538
33	0.2747178111
34	0.2689763683
35	0.2634262652
36	0.2580823011
37	0.2527270875
38	0.2476400365
39	0.2426013415
40	0.2376081685
41	0.2328763118
42	0.2283401818
43	0.2237921886
44	0.2194128616
45	0.2150717062
46	0.2108802284
47	0.2069893778
48	0.2030862844
49	0.1992381664
50	0.1956284701
51	0.1920007569
52	0.1885533852
53	0.1850930864
54	0.1818904253
55	0.1787277771
56	0.17568932
57	0.1726584959
58	0.1695931361
59	0.1667379863
60	0.1638955972
61	0.161173961
62	0.1585299672
63	0.1560327302
64	0.1535774563
65	0.1510913255
66	0.1487291071
67	0.1464649448
68	0.1442185344
69	0.142006437
70	0.139896782
71	0.137896563
72	0.1358731685
73	0.1339917433
74	0.1321127878
75	0.130269199
76	0.1285165986
77	0.1268188108
78	0.125118604
79	0.1234874006
80	0.1218502674
81	0.1203208499
82	0.118856937
83	0.1173579829
84	0.1159420128
85	0.1145473082
86	0.1131879242
87	0.1118767915
88	0.1106226083
89	0.1094273584
90	0.1082466916
91	0.107074167
92	0.105929798
93	0.1048069159
94	0.1037640136
95	0.1027643297
96	0.1017577051
97	0.1007730836
98	0.09982774261
99	0.09890755103
100	0.09799011922
101	0.0971089089
102	0.09627684704
103	0.0954894282
104	0.0946937211
105	0.09392635074
106	0.09315257782
107	0.09241397402
108	0.09171672649
109	0.09101111715
110	0.09032923486
111	0.08965285991
112	0.08900925429
113	0.08841333294
114	0.08780226542
115	0.08722910114
116	0.08663718729
117	0.08607743505
118	0.08554802271
119	0.0850288901
120	0.08453567484
121	0.08404113394
122	0.08354910902
123	0.08310828137
124	0.08266784866
125	0.08221716991
126	0.08176461103
127	0.08136798114
128	0.08095611755
129	0.08055686333
130	0.08017481726
131	0.07979695771
132	0.07943475064
133	0.0790756268
134	0.07874027666
135	0.07840484547
136	0.0780759622
137	0.07774027735
138	0.07742832717
139	0.07713267261
140	0.07683443891
141	0.07653989719
142	0.0762644169
143	0.07598332367
144	0.07570970172
145	0.07545239925
146	0.07519001222
147	0.0749517272
148	0.07471286957
149	0.07447278657
150	0.07424137212
151	0.07402381103
152	0.07379606593
153	0.0735915526
154	0.07338622132
155	0.07317824964
156	0.07298162076
157	0.07279014954
158	0.07259904319
159	0.07240107771
160	0.0722182059
161	0.07204896322
162	0.07188152326
163	0.0717126136
164	0.07154700011
165	0.07139128305
166	0.0712409453
167	0.07108386963
168	0.07093120647
169	0.07078588548
170	0.07063636243
171	0.07049553202
172	0.07036065553
173	0.07023576609
174	0.07010458297
175	0.06995609365
176	0.06982129789
177	0.0696926278
178	0.06957275205
179	0.06944837026
180	0.06932813321
181	0.06921315086
